Date and Time,CO2 (ppm),unc.
1560569594.732532,521.1111111111111,7.665861471404596
1560569609.682091,521.9318181818181,7.207627674499765
1560569624.662472,521.978021978022,7.44500425756234
1560569639.730411,521.4606741573034,8.420222020312448
1560569655.833915,517.0786516853933,7.374759137717727
1560569671.159252,514.8351648351648,6.85206912884391
1560569686.420156,515.8426966292135,6.838258002113681
1560569702.886641,510.7865168539326,7.964065234458134
1560569718.700468,509.3258426966292,7.464937187358692
1560569733.921776,509.6703296703297,7.6245049488798475
1560569749.044732,507.3626373626374,6.927436269219553
1560569765.305755,503.2967032967033,6.471398621685914
1560569780.805598,500.44943820224717,7.481830029027638
1560569796.033902,500.8791208791209,8.207253780148502
1560569812.156644,501.75824175824175,7.499949683846837
1560569828.026031,499.2134831460674,7.528928345056608
1560569843.757795,500.1111111111111,8.365862437369364
1560569860.59605,500.1123595505618,7.109794166092752
1560569876.079899,496.44444444444446,7.931808132255443
1560569891.512446,494.77777777777777,6.536696035592324
1560569907.571349,493.4065934065934,7.143702401382422
1560569922.6849,490.77777777777777,6.364445996275416
1560569937.724916,494.2857142857143,6.976074834331376
1560569952.791531,496.15384615384613,6.7562312742590755
1560569968.164218,493.4065934065934,6.988181580476767
1560569984.121802,495.0,7.031674369909662
1560569999.189147,495.77777777777777,6.142344427149002
1560570014.187129,496.77777777777777,8.003857094867557
1560570030.110617,499.7752808988764,7.786119613065355
1560570046.14789,497.14285714285717,7.305833027953697
1560570062.24253,499.45054945054943,8.433663232681273
1560570078.138373,496.04395604395603,7.54169667550483
1560570094.157648,490.7692307692308,7.876905906574692
1560570109.620559,490.8791208791209,7.652960591859406
1560570126.281496,490.1162790697674,7.9962470916066035
1560570142.029926,492.13483146067415,7.712810023249669
1560570157.455633,492.55555555555554,8.374712082760565
1560570173.799935,492.4175824175824,6.848543494893574
1560570189.170833,491.6666666666667,6.540472290116194
